clip	duration[ms]
common_voice_tw_35292435.mp3	4176
common_voice_tw_35280632.mp3	3708
common_voice_tw_35292369.mp3	2988
common_voice_tw_35292437.mp3	2520
common_voice_tw_40206828.mp3	3528
common_voice_tw_35292483.mp3	3240
common_voice_tw_35292382.mp3	3420
common_voice_tw_35292448.mp3	3780
common_voice_tw_35292482.mp3	5436
common_voice_tw_35292372.mp3	2736
common_voice_tw_35280491.mp3	3060
common_voice_tw_35280553.mp3	3276
common_voice_tw_40932708.mp3	5688
common_voice_tw_41094459.mp3	7308
common_voice_tw_40206827.mp3	5256
common_voice_tw_35292434.mp3	3168
common_voice_tw_35280633.mp3	3276
common_voice_tw_41029569.mp3	6048
common_voice_tw_35292423.mp3	3240
common_voice_tw_35292485.mp3	3960
common_voice_tw_35292377.mp3	2988
common_voice_tw_35280577.mp3	6156
common_voice_tw_35280565.mp3	2556
common_voice_tw_35292334.mp3	5688
common_voice_tw_35280540.mp3	5688
common_voice_tw_35280489.mp3	6300
common_voice_tw_34997393.mp3	5436
common_voice_tw_35280579.mp3	3780
common_voice_tw_35280439.mp3	3636
common_voice_tw_35280554.mp3	3060
common_voice_tw_35292413.mp3	3240
common_voice_tw_35292415.mp3	1980
common_voice_tw_35292432.mp3	2736
common_voice_tw_35280433.mp3	3168
common_voice_tw_35292409.mp3	3240
common_voice_tw_35292380.mp3	6048
common_voice_tw_35280463.mp3	5868
common_voice_tw_40258533.mp3	8676
common_voice_tw_35280576.mp3	4356
common_voice_tw_35280566.mp3	4320
common_voice_tw_35292356.mp3	2808
common_voice_tw_35292426.mp3	6588
common_voice_tw_35280562.mp3	2808
common_voice_tw_35292464.mp3	4896
common_voice_tw_35292374.mp3	2268
common_voice_tw_35292354.mp3	2808
common_voice_tw_35280464.mp3	4680
common_voice_tw_35280502.mp3	2700
common_voice_tw_40258531.mp3	8424
common_voice_tw_35280525.mp3	3060
common_voice_tw_41029568.mp3	8676
common_voice_tw_35280504.mp3	3420
common_voice_tw_35292402.mp3	5616
common_voice_tw_35292373.mp3	2520
common_voice_tw_35280550.mp3	5148
common_voice_tw_35292444.mp3	4356
common_voice_tw_40932711.mp3	4428
common_voice_tw_35280449.mp3	3636
common_voice_tw_35292343.mp3	7236
common_voice_tw_35280467.mp3	3420
common_voice_tw_40206813.mp3	6768
common_voice_tw_35292375.mp3	4356
common_voice_tw_40206810.mp3	9360
common_voice_tw_40932710.mp3	5256
common_voice_tw_35292449.mp3	2916
common_voice_tw_35292370.mp3	2808
common_voice_tw_35280524.mp3	2520
common_voice_tw_35280505.mp3	2556
common_voice_tw_35292429.mp3	5580
common_voice_tw_35280523.mp3	4680
common_voice_tw_35280500.mp3	2520
common_voice_tw_35280511.mp3	5868
common_voice_tw_35280507.mp3	4968
common_voice_tw_35280461.mp3	4428
common_voice_tw_34997398.mp3	7488
common_voice_tw_36831072.mp3	6300
common_voice_tw_40006129.mp3	4500
common_voice_tw_35292403.mp3	2808
common_voice_tw_35292410.mp3	5580
common_voice_tw_35280532.mp3	4140
common_voice_tw_40006128.mp3	9936
common_voice_tw_35280456.mp3	2916
common_voice_tw_35292336.mp3	5400
common_voice_tw_35292332.mp3	4176
common_voice_tw_35292455.mp3	2700
common_voice_tw_35292425.mp3	2340
common_voice_tw_35292367.mp3	5076
common_voice_tw_35280631.mp3	4860
common_voice_tw_41094458.mp3	4536
common_voice_tw_35280559.mp3	3960
common_voice_tw_35292442.mp3	6120
common_voice_tw_35292364.mp3	2088
common_voice_tw_35292401.mp3	2916
common_voice_tw_35292427.mp3	4500
common_voice_tw_35292469.mp3	4428
common_voice_tw_40932709.mp3	4896
common_voice_tw_35280458.mp3	5580
common_voice_tw_35280600.mp3	2736
common_voice_tw_35292428.mp3	2088
common_voice_tw_35292440.mp3	3276
common_voice_tw_35280555.mp3	2520
common_voice_tw_35292386.mp3	3168
common_voice_tw_35292411.mp3	2988
common_voice_tw_35292481.mp3	6768
common_voice_tw_35280429.mp3	3888
common_voice_tw_35292416.mp3	3456
common_voice_tw_35280499.mp3	3456
common_voice_tw_41094462.mp3	5760
common_voice_tw_35280465.mp3	7020
common_voice_tw_35292335.mp3	5076
common_voice_tw_35292436.mp3	2268
common_voice_tw_35292472.mp3	2520
common_voice_tw_35292383.mp3	3996
common_voice_tw_35292424.mp3	3276
common_voice_tw_35280590.mp3	6588
common_voice_tw_35280593.mp3	4968
common_voice_tw_40206817.mp3	8568
common_voice_tw_41029567.mp3	15228
common_voice_tw_35292333.mp3	4428
common_voice_tw_35292447.mp3	2196
common_voice_tw_34997402.mp3	2808
common_voice_tw_35280509.mp3	3960
common_voice_tw_40206819.mp3	3240
common_voice_tw_36831071.mp3	4968
common_voice_tw_35280548.mp3	3996
common_voice_tw_35292344.mp3	5328
common_voice_tw_35280594.mp3	4140
common_voice_tw_35280497.mp3	2736
common_voice_tw_35292365.mp3	2916
common_voice_tw_35280450.mp3	3996
common_voice_tw_35280490.mp3	5400
common_voice_tw_41094461.mp3	7740
common_voice_tw_35280531.mp3	4896
common_voice_tw_35280608.mp3	4500
common_voice_tw_35280503.mp3	4608
common_voice_tw_35280561.mp3	4500
common_voice_tw_35280533.mp3	4716
common_voice_tw_35292417.mp3	1980
common_voice_tw_35292422.mp3	3708
common_voice_tw_34997394.mp3	3456
common_voice_tw_35280455.mp3	2700
common_voice_tw_35292494.mp3	2700
common_voice_tw_35280551.mp3	2700
common_voice_tw_35292385.mp3	2700
common_voice_tw_35280535.mp3	3168
common_voice_tw_34745954.mp3	5580
common_voice_tw_35280457.mp3	2268
common_voice_tw_35280575.mp3	4248
common_voice_tw_35292492.mp3	3996
common_voice_tw_41029570.mp3	12240
common_voice_tw_35280521.mp3	2808
common_voice_tw_35292412.mp3	1980
common_voice_tw_35280432.mp3	3456
common_voice_tw_35280607.mp3	3420
common_voice_tw_35280441.mp3	4608
common_voice_tw_40006126.mp3	5508
common_voice_tw_35280542.mp3	4428
common_voice_tw_35280451.mp3	5220
common_voice_tw_35292438.mp3	2736
common_voice_tw_35292418.mp3	4896
common_voice_tw_35292456.mp3	2268
common_voice_tw_35280405.mp3	5328
common_voice_tw_40258532.mp3	3888
common_voice_tw_35292408.mp3	3888
common_voice_tw_40258530.mp3	7236
common_voice_tw_35280601.mp3	4608
common_voice_tw_35292368.mp3	3888
common_voice_tw_35280406.mp3	5616
common_voice_tw_35292445.mp3	3528
common_voice_tw_35280442.mp3	4176
common_voice_tw_35280629.mp3	2556
common_voice_tw_35280506.mp3	5436
common_voice_tw_40006127.mp3	5616
common_voice_tw_35280510.mp3	4716
common_voice_tw_35292441.mp3	4248
common_voice_tw_35292353.mp3	4140
common_voice_tw_35280453.mp3	4500
common_voice_tw_35292407.mp3	4176
common_voice_tw_35280558.mp3	5616
common_voice_tw_35292376.mp3	2736
common_voice_tw_35280440.mp3	3168
common_voice_tw_35280630.mp3	2988
common_voice_tw_35280404.mp3	4176
common_voice_tw_35280568.mp3	3456
common_voice_tw_35280547.mp3	3276
common_voice_tw_40932707.mp3	5976
common_voice_tw_35292406.mp3	4356
common_voice_tw_35292366.mp3	6660
common_voice_tw_35292463.mp3	3996
common_voice_tw_35280543.mp3	4176
common_voice_tw_35280407.mp3	6588
common_voice_tw_35292459.mp3	2340
common_voice_tw_35280492.mp3	3420
common_voice_tw_35292345.mp3	4608
common_voice_tw_35292457.mp3	2916
common_voice_tw_35280560.mp3	2808
common_voice_tw_35280462.mp3	5580
common_voice_tw_35280508.mp3	3780
common_voice_tw_35292352.mp3	4428
common_voice_tw_35280459.mp3	3276
common_voice_tw_35292379.mp3	5220
common_voice_tw_35280563.mp3	6588
common_voice_tw_35280522.mp3	2700
common_voice_tw_35292461.mp3	3780
common_voice_tw_35280430.mp3	2448
common_voice_tw_41029566.mp3	7920
common_voice_tw_35292493.mp3	3168
common_voice_tw_35280498.mp3	4248
common_voice_tw_41094460.mp3	3528
common_voice_tw_35280501.mp3	2196
common_voice_tw_35292346.mp3	4968
common_voice_tw_35280468.mp3	3240
common_voice_tw_35280452.mp3	4428
common_voice_tw_35292404.mp3	5796
common_voice_tw_35292405.mp3	3528
common_voice_tw_35292446.mp3	2196
common_voice_tw_36831070.mp3	7740
common_voice_tw_35292384.mp3	3528
common_voice_tw_35280549.mp3	4896
common_voice_tw_35292421.mp3	3420
common_voice_tw_35280552.mp3	2736
common_voice_tw_40006125.mp3	6048
common_voice_tw_40206825.mp3	3456
common_voice_tw_35292433.mp3	2808
common_voice_tw_34997400.mp3	3276
common_voice_tw_35280557.mp3	5400
common_voice_tw_35292419.mp3	2520
common_voice_tw_36831074.mp3	4788
common_voice_tw_35292491.mp3	3060
common_voice_tw_35280567.mp3	5148
common_voice_tw_35292362.mp3	3420
common_voice_tw_35280408.mp3	3708
common_voice_tw_35280544.mp3	2556
common_voice_tw_35292430.mp3	2808
common_voice_tw_35292431.mp3	5616
common_voice_tw_35280443.mp3	3060
common_voice_tw_35280546.mp3	3636
common_voice_tw_35292490.mp3	3240
common_voice_tw_35280569.mp3	4896
common_voice_tw_35292462.mp3	4680
common_voice_tw_35292342.mp3	4356
common_voice_tw_35292371.mp3	6120
common_voice_tw_35292355.mp3	3276
common_voice_tw_35292471.mp3	5148
common_voice_tw_35280431.mp3	4896
common_voice_tw_35280556.mp3	2736
common_voice_tw_36831073.mp3	4716
common_voice_tw_35292420.mp3	3636
common_voice_tw_40206815.mp3	4140
common_voice_tw_35280591.mp3	4140
common_voice_tw_35292439.mp3	3240
common_voice_tw_40206829.mp3	4176
common_voice_tw_35280466.mp3	4140
common_voice_tw_35292460.mp3	3276
common_voice_tw_35292381.mp3	2556
common_voice_tw_40258529.mp3	11628
common_voice_tw_35292443.mp3	2268
common_voice_tw_40206826.mp3	3240
common_voice_tw_35292378.mp3	3636
common_voice_tw_35292468.mp3	2988
common_voice_tw_35292363.mp3	2700
common_voice_tw_35280454.mp3	6660
common_voice_tw_35280541.mp3	3636
common_voice_tw_35292458.mp3	2340
common_voice_tw_35292484.mp3	5436
common_voice_tw_35292414.mp3	4968
common_voice_tw_35280578.mp3	6156
common_voice_tw_35280564.mp3	4608
common_voice_tw_35292470.mp3	3528
common_voice_tw_35280460.mp3	3888
common_voice_tw_35280592.mp3	5148
common_voice_tw_35280534.mp3	5148
